region,year,month,month_name,date,arrivals
South Asia,2008,2,Feb,2008-02-01,65091
South Korea,2008,2,Feb,2008-02-01,40998
Southeast Asia,2008,2,Feb,2008-02-01,255547
Spain,2008,2,Feb,2008-02-01,1795
Sri Lanka,2008,2,Feb,2008-02-01,5789
Sweden,2008,2,Feb,2008-02-01,4112
Switzerland,2008,2,Feb,2008-02-01,4834
Taiwan,2008,2,Feb,2008-02-01,17829
Thailand,2008,2,Feb,2008-02-01,23320
Total International Visitor Arrivals By Place Of Residence,2008,2,Feb,2008-02-01,813028
USA,2008,2,Feb,2008-02-01,33006
United Arab Emirates,2008,2,Feb,2008-02-01,2439
United Kingdom,2008,2,Feb,2008-02-01,51188
Vietnam,2008,2,Feb,2008-02-01,17171
West Asia,2008,2,Feb,2008-02-01,6882
Africa,2008,3,Mar,2008-03-01,7734
Americas,2008,3,Mar,2008-03-01,50240
Australia,2008,3,Mar,2008-03-01,61681
Bangladesh,2008,3,Mar,2008-03-01,7986
Belgium & Luxembourg,2008,3,Mar,2008-03-01,2152
Brunei Darussalam,2008,3,Mar,2008-03-01,5406
Canada,2008,3,Mar,2008-03-01,8239
China,2008,3,Mar,2008-03-01,98180
Denmark,2008,3,Mar,2008-03-01,3720
Egypt,2008,3,Mar,2008-03-01,338
Europe,2008,3,Mar,2008-03-01,141721
Finland,2008,3,Mar,2008-03-01,1431
France,2008,3,Mar,2008-03-01,9707
Germany,2008,3,Mar,2008-03-01,18467
Greater China,2008,3,Mar,2008-03-01,140905
Hong Kong SAR,2008,3,Mar,2008-03-01,27600
India,2008,3,Mar,2008-03-01,57776
Indonesia,2008,3,Mar,2008-03-01,155238
Iran,2008,3,Mar,2008-03-01,6760
Israel,2008,3,Mar,2008-03-01,1024
Italy,2008,3,Mar,2008-03-01,3420
Japan,2008,3,Mar,2008-03-01,57364
Kuwait,2008,3,Mar,2008-03-01,250
Malaysia,2008,3,Mar,2008-03-01,56359
Mauritius,2008,3,Mar,2008-03-01,736
Myanmar,2008,3,Mar,2008-03-01,6989
Netherlands,2008,3,Mar,2008-03-01,6107
New Zealand,2008,3,Mar,2008-03-01,6846
North Asia,2008,3,Mar,2008-03-01,97077
Norway,2008,3,Mar,2008-03-01,4554
Oceania,2008,3,Mar,2008-03-01,69741
Other Markets In Africa,2008,3,Mar,2008-03-01,2771
Other Markets In Americas,2008,3,Mar,2008-03-01,2997
Other Markets In Europe,2008,3,Mar,2008-03-01,10467
Other Markets In Greater China,2008,3,Mar,2008-03-01,1347
Other Markets In North Asia,2008,3,Mar,2008-03-01,30
Other Markets In Oceania,2008,3,Mar,2008-03-01,1214
Other Markets In South Asia,2008,3,Mar,2008-03-01,2570
Other Markets In Southeast Asia,2008,3,Mar,2008-03-01,1931
Other Markets In West Asia,2008,3,Mar,2008-03-01,1204
Others,2008,3,Mar,2008-03-01,548
Pakistan,2008,3,Mar,2008-03-01,2055
Philippines,2008,3,Mar,2008-03-01,37117
Rep Of Ireland,2008,3,Mar,2008-03-01,2900
Russian Federation,2008,3,Mar,2008-03-01,4815
Saudi Arabia,2008,3,Mar,2008-03-01,687
South Africa (Rep Of),2008,3,Mar,2008-03-01,3889
South Asia,2008,3,Mar,2008-03-01,76460
South Korea,2008,3,Mar,2008-03-01,39683
Southeast Asia,2008,3,Mar,2008-03-01,312642
Spain,2008,3,Mar,2008-03-01,2819
Sri Lanka,2008,3,Mar,2008-03-01,6073
Sweden,2008,3,Mar,2008-03-01,4248
Switzerland,2008,3,Mar,2008-03-01,5642
Taiwan,2008,3,Mar,2008-03-01,13778
Thailand,2008,3,Mar,2008-03-01,31641
Total International Visitor Arrivals By Place Of Residence,2008,3,Mar,2008-03-01,910635
USA,2008,3,Mar,2008-03-01,39004
United Arab Emirates,2008,3,Mar,2008-03-01,3642
United Kingdom,2008,3,Mar,2008-03-01,61272
Vietnam,2008,3,Mar,2008-03-01,17961
West Asia,2008,3,Mar,2008-03-01,13567
Africa,2008,4,Apr,2008-04-01,7903
Americas,2008,4,Apr,2008-04-01,39477
Australia,2008,4,Apr,2008-04-01,63079
Bangladesh,2008,4,Apr,2008-04-01,7718
