region,year,month,month_name,date,arrivals
Other Markets In North Asia,2011,6,Jun,2011-06-01,61
Other Markets In Oceania,2011,6,Jun,2011-06-01,1384
Other Markets In South Asia,2011,6,Jun,2011-06-01,1821
Other Markets In Southeast Asia,2011,6,Jun,2011-06-01,3112
Other Markets In West Asia,2011,6,Jun,2011-06-01,2137
Others,2011,6,Jun,2011-06-01,0
Pakistan,2011,6,Jun,2011-06-01,2740
Philippines,2011,6,Jun,2011-06-01,52257
Rep Of Ireland,2011,6,Jun,2011-06-01,1499
Russian Federation,2011,6,Jun,2011-06-01,3085
Saudi Arabia,2011,6,Jun,2011-06-01,1512
South Africa (Rep Of),2011,6,Jun,2011-06-01,2117
South Asia,2011,6,Jun,2011-06-01,108583
South Korea,2011,6,Jun,2011-06-01,34233
Southeast Asia,2011,6,Jun,2011-06-01,490223
Spain,2011,6,Jun,2011-06-01,2015
Sri Lanka,2011,6,Jun,2011-06-01,5296
Sweden,2011,6,Jun,2011-06-01,2011
Switzerland,2011,6,Jun,2011-06-01,4497
Taiwan,2011,6,Jun,2011-06-01,20445
Thailand,2011,6,Jun,2011-06-01,32783
Total International Visitor Arrivals By Place Of Residence,2011,6,Jun,2011-06-01,1080066
USA,2011,6,Jun,2011-06-01,39712
United Arab Emirates,2011,6,Jun,2011-06-01,5064
United Kingdom,2011,6,Jun,2011-06-01,24474
Vietnam,2011,6,Jun,2011-06-01,36751
West Asia,2011,6,Jun,2011-06-01,12476
Africa,2011,7,Jul,2011-07-01,7454
Americas,2011,7,Jul,2011-07-01,53651
Australia,2011,7,Jul,2011-07-01,94690
Bangladesh,2011,7,Jul,2011-07-01,9038
Belgium & Luxembourg,2011,7,Jul,2011-07-01,2683
Brunei Darussalam,2011,7,Jul,2011-07-01,5522
Canada,2011,7,Jul,2011-07-01,7098
China,2011,7,Jul,2011-07-01,183862
Denmark,2011,7,Jul,2011-07-01,3064
Egypt,2011,7,Jul,2011-07-01,496
Europe,2011,7,Jul,2011-07-01,113854
Finland,2011,7,Jul,2011-07-01,1991
France,2011,7,Jul,2011-07-01,13943
Germany,2011,7,Jul,2011-07-01,15675
Greater China,2011,7,Jul,2011-07-01,277466
Hong Kong SAR,2011,7,Jul,2011-07-01,56960
India,2011,7,Jul,2011-07-01,71209
Indonesia,2011,7,Jul,2011-07-01,251419
Iran,2011,7,Jul,2011-07-01,2182
Israel,2011,7,Jul,2011-07-01,1170
Italy,2011,7,Jul,2011-07-01,4151
Japan,2011,7,Jul,2011-07-01,55479
Kuwait,2011,7,Jul,2011-07-01,2404
Malaysia,2011,7,Jul,2011-07-01,90175
Mauritius,2011,7,Jul,2011-07-01,953
Myanmar,2011,7,Jul,2011-07-01,9196
Netherlands,2011,7,Jul,2011-07-01,9682
New Zealand,2011,7,Jul,2011-07-01,15973
North Asia,2011,7,Jul,2011-07-01,96250
Norway,2011,7,Jul,2011-07-01,3201
Oceania,2011,7,Jul,2011-07-01,112000
Other Markets In Africa,2011,7,Jul,2011-07-01,3040
Other Markets In Americas,2011,7,Jul,2011-07-01,3366
Other Markets In Europe,2011,7,Jul,2011-07-01,10015
Other Markets In Greater China,2011,7,Jul,2011-07-01,3190
Other Markets In North Asia,2011,7,Jul,2011-07-01,184
Other Markets In Oceania,2011,7,Jul,2011-07-01,1337
Other Markets In South Asia,2011,7,Jul,2011-07-01,1797
Other Markets In Southeast Asia,2011,7,Jul,2011-07-01,4079
Other Markets In West Asia,2011,7,Jul,2011-07-01,3586
Others,2011,7,Jul,2011-07-01,92
Pakistan,2011,7,Jul,2011-07-01,3568
Philippines,2011,7,Jul,2011-07-01,50938
Rep Of Ireland,2011,7,Jul,2011-07-01,1785
Russian Federation,2011,7,Jul,2011-07-01,3888
Saudi Arabia,2011,7,Jul,2011-07-01,3696
South Africa (Rep Of),2011,7,Jul,2011-07-01,2965
South Asia,2011,7,Jul,2011-07-01,93197
South Korea,2011,7,Jul,2011-07-01,40587
Southeast Asia,2011,7,Jul,2011-07-01,497719
Spain,2011,7,Jul,2011-07-01,3336
Sri Lanka,2011,7,Jul,2011-07-01,7585
Sweden,2011,7,Jul,2011-07-01,2455
Switzerland,2011,7,Jul,2011-07-01,7318
Taiwan,2011,7,Jul,2011-07-01,33454
Thailand,2011,7,Jul,2011-07-01,40848
Total International Visitor Arrivals By Place Of Residence,2011,7,Jul,2011-07-01,1273870
USA,2011,7,Jul,2011-07-01,43187
United Arab Emirates,2011,7,Jul,2011-07-01,9149
United Kingdom,2011,7,Jul,2011-07-01,30667
Vietnam,2011,7,Jul,2011-07-01,45542
West Asia,2011,7,Jul,2011-07-01,22187
Africa,2011,8,Aug,2011-08-01,5200
Americas,2011,8,Aug,2011-08-01,43227
Australia,2011,8,Aug,2011-08-01,71953
Bangladesh,2011,8,Aug,2011-08-01,7316
Belgium & Luxembourg,2011,8,Aug,2011-08-01,2464
Brunei Darussalam,2011,8,Aug,2011-08-01,4556
Canada,2011,8,Aug,2011-08-01,6399
China,2011,8,Aug,2011-08-01,183890
Denmark,2011,8,Aug,2011-08-01,1595
Egypt,2011,8,Aug,2011-08-01,238
Europe,2011,8,Aug,2011-08-01,124298
Finland,2011,8,Aug,2011-08-01,1240
France,2011,8,Aug,2011-08-01,17520
Germany,2011,8,Aug,2011-08-01,18141
Greater China,2011,8,Aug,2011-08-01,263202
Hong Kong SAR,2011,8,Aug,2011-08-01,49034
India,2011,8,Aug,2011-08-01,60926
Indonesia,2011,8,Aug,2011-08-01,228209
Iran,2011,8,Aug,2011-08-01,2339
Israel,2011,8,Aug,2011-08-01,1006
Italy,2011,8,Aug,2011-08-01,8242
Japan,2011,8,Aug,2011-08-01,72034
Kuwait,2011,8,Aug,2011-08-01,580
Malaysia,2011,8,Aug,2011-08-01,91344
Mauritius,2011,8,Aug,2011-08-01,841
Myanmar,2011,8,Aug,2011-08-01,7256
Netherlands,2011,8,Aug,2011-08-01,8909
New Zealand,2011,8,Aug,2011-08-01,11612
North Asia,2011,8,Aug,2011-08-01,116472
Norway,2011,8,Aug,2011-08-01,1905
Oceania,2011,8,Aug,2011-08-01,84623
Other Markets In Africa,2011,8,Aug,2011-08-01,2323
Other Markets In Americas,2011,8,Aug,2011-08-01,2607
Other Markets In Europe,2011,8,Aug,2011-08-01,10472
Other Markets In Greater China,2011,8,Aug,2011-08-01,3704
Other Markets In North Asia,2011,8,Aug,2011-08-01,74
Other Markets In Oceania,2011,8,Aug,2011-08-01,1058
Other Markets In South Asia,2011,8,Aug,2011-08-01,1712
Other Markets In Southeast Asia,2011,8,Aug,2011-08-01,3413
Other Markets In West Asia,2011,8,Aug,2011-08-01,1844
Others,2011,8,Aug,2011-08-01,0
Pakistan,2011,8,Aug,2011-08-01,1154
Philippines,2011,8,Aug,2011-08-01,49558
Rep Of Ireland,2011,8,Aug,2011-08-01,1570
Russian Federation,2011,8,Aug,2011-08-01,4033
Saudi Arabia,2011,8,Aug,2011-08-01,1056
South Africa (Rep Of),2011,8,Aug,2011-08-01,1798
South Asia,2011,8,Aug,2011-08-01,78694
South Korea,2011,8,Aug,2011-08-01,44364
Southeast Asia,2011,8,Aug,2011-08-01,449333
Spain,2011,8,Aug,2011-08-01,5411
Sri Lanka,2011,8,Aug,2011-08-01,7586
Sweden,2011,8,Aug,2011-08-01,1726
Switzerland,2011,8,Aug,2011-08-01,6090
Taiwan,2011,8,Aug,2011-08-01,26574
Thailand,2011,8,Aug,2011-08-01,34385
Total International Visitor Arrivals By Place Of Residence,2011,8,Aug,2011-08-01,1178511
USA,2011,8,Aug,2011-08-01,34221
United Arab Emirates,2011,8,Aug,2011-08-01,6637
United Kingdom,2011,8,Aug,2011-08-01,34980
Vietnam,2011,8,Aug,2011-08-01,30612
West Asia,2011,8,Aug,2011-08-01,13462
Africa,2011,9,Sep,2011-09-01,5934
Americas,2011,9,Sep,2011-09-01,37354
Australia,2011,9,Sep,2011-09-01,86076
Bangladesh,2011,9,Sep,2011-09-01,8866
Belgium & Luxembourg,2011,9,Sep,2011-09-01,1819
Brunei Darussalam,2011,9,Sep,2011-09-01,3910
Canada,2011,9,Sep,2011-09-01,4554
China,2011,9,Sep,2011-09-01,104211
Denmark,2011,9,Sep,2011-09-01,1659
Egypt,2011,9,Sep,2011-09-01,393
Europe,2011,9,Sep,2011-09-01,104492
Finland,2011,9,Sep,2011-09-01,1259
France,2011,9,Sep,2011-09-01,10434
Germany,2011,9,Sep,2011-09-01,17400
Greater China,2011,9,Sep,2011-09-01,156030
Hong Kong SAR,2011,9,Sep,2011-09-01,31113
India,2011,9,Sep,2011-09-01,58309
Indonesia,2011,9,Sep,2011-09-01,221319
Iran,2011,9,Sep,2011-09-01,3485
Israel,2011,9,Sep,2011-09-01,922
Italy,2011,9,Sep,2011-09-01,3867
Japan,2011,9,Sep,2011-09-01,62395
Kuwait,2011,9,Sep,2011-09-01,710
Malaysia,2011,9,Sep,2011-09-01,103060
Mauritius,2011,9,Sep,2011-09-01,585
Myanmar,2011,9,Sep,2011-09-01,6966
Netherlands,2011,9,Sep,2011-09-01,6318
New Zealand,2011,9,Sep,2011-09-01,9698
North Asia,2011,9,Sep,2011-09-01,92553
Norway,2011,9,Sep,2011-09-01,1964
Oceania,2011,9,Sep,2011-09-01,96987
Other Markets In Africa,2011,9,Sep,2011-09-01,2241
Other Markets In Americas,2011,9,Sep,2011-09-01,2979
Other Markets In Europe,2011,9,Sep,2011-09-01,9451
Other Markets In Greater China,2011,9,Sep,2011-09-01,1649
Other Markets In North Asia,2011,9,Sep,2011-09-01,46
Other Markets In Oceania,2011,9,Sep,2011-09-01,1213
Other Markets In South Asia,2011,9,Sep,2011-09-01,1723
Other Markets In Southeast Asia,2011,9,Sep,2011-09-01,3940
Other Markets In West Asia,2011,9,Sep,2011-09-01,1698
Others,2011,9,Sep,2011-09-01,25
Pakistan,2011,9,Sep,2011-09-01,1319
Philippines,2011,9,Sep,2011-09-01,51859
Rep Of Ireland,2011,9,Sep,2011-09-01,1521
Russian Federation,2011,9,Sep,2011-09-01,4262
Saudi Arabia,2011,9,Sep,2011-09-01,1545
South Africa (Rep Of),2011,9,Sep,2011-09-01,2715
South Asia,2011,9,Sep,2011-09-01,76611
South Korea,2011,9,Sep,2011-09-01,30112
Southeast Asia,2011,9,Sep,2011-09-01,450741
Spain,2011,9,Sep,2011-09-01,2948
Sri Lanka,2011,9,Sep,2011-09-01,6394
Sweden,2011,9,Sep,2011-09-01,1901
Switzerland,2011,9,Sep,2011-09-01,5725
Taiwan,2011,9,Sep,2011-09-01,19057
Thailand,2011,9,Sep,2011-09-01,33009
Total International Visitor Arrivals By Place Of Residence,2011,9,Sep,2011-09-01,1033747
USA,2011,9,Sep,2011-09-01,29821
United Arab Emirates,2011,9,Sep,2011-09-01,4660
United Kingdom,2011,9,Sep,2011-09-01,33964
Vietnam,2011,9,Sep,2011-09-01,26678
West Asia,2011,9,Sep,2011-09-01,13020
Africa,2011,10,Oct,2011-10-01,6042
Americas,2011,10,Oct,2011-10-01,47929
Australia,2011,10,Oct,2011-10-01,84509
Bangladesh,2011,10,Oct,2011-10-01,8085
Belgium & Luxembourg,2011,10,Oct,2011-10-01,2222
Brunei Darussalam,2011,10,Oct,2011-10-01,4238
Canada,2011,10,Oct,2011-10-01,6814
China,2011,10,Oct,2011-10-01,133563
Denmark,2011,10,Oct,2011-10-01,2241
Egypt,2011,10,Oct,2011-10-01,373
Europe,2011,10,Oct,2011-10-01,117723
Finland,2011,10,Oct,2011-10-01,2202
France,2011,10,Oct,2011-10-01,11204
Germany,2011,10,Oct,2011-10-01,18938
Greater China,2011,10,Oct,2011-10-01,184153
Hong Kong SAR,2011,10,Oct,2011-10-01,31027
India,2011,10,Oct,2011-10-01,77196
Indonesia,2011,10,Oct,2011-10-01,193879
Iran,2011,10,Oct,2011-10-01,1706
Israel,2011,10,Oct,2011-10-01,1136
Italy,2011,10,Oct,2011-10-01,3767
Japan,2011,10,Oct,2011-10-01,57677
Kuwait,2011,10,Oct,2011-10-01,361
Malaysia,2011,10,Oct,2011-10-01,88770
Mauritius,2011,10,Oct,2011-10-01,750
Myanmar,2011,10,Oct,2011-10-01,7624
Netherlands,2011,10,Oct,2011-10-01,7112
New Zealand,2011,10,Oct,2011-10-01,9876
North Asia,2011,10,Oct,2011-10-01,91377
Norway,2011,10,Oct,2011-10-01,2667
Oceania,2011,10,Oct,2011-10-01,95623
Other Markets In Africa,2011,10,Oct,2011-10-01,2066
Other Markets In Americas,2011,10,Oct,2011-10-01,4275
Other Markets In Europe,2011,10,Oct,2011-10-01,10695
Other Markets In Greater China,2011,10,Oct,2011-10-01,1788
Other Markets In North Asia,2011,10,Oct,2011-10-01,106
Other Markets In Oceania,2011,10,Oct,2011-10-01,1238
Other Markets In South Asia,2011,10,Oct,2011-10-01,2065
Other Markets In Southeast Asia,2011,10,Oct,2011-10-01,3266
Other Markets In West Asia,2011,10,Oct,2011-10-01,1487
Others,2011,10,Oct,2011-10-01,2
Pakistan,2011,10,Oct,2011-10-01,1574
Philippines,2011,10,Oct,2011-10-01,63218
Rep Of Ireland,2011,10,Oct,2011-10-01,1561
Russian Federation,2011,10,Oct,2011-10-01,4575
Saudi Arabia,2011,10,Oct,2011-10-01,1142
South Africa (Rep Of),2011,10,Oct,2011-10-01,2853
South Asia,2011,10,Oct,2011-10-01,95389
South Korea,2011,10,Oct,2011-10-01,33594
Southeast Asia,2011,10,Oct,2011-10-01,437413
Spain,2011,10,Oct,2011-10-01,3343
Sri Lanka,2011,10,Oct,2011-10-01,6469
Sweden,2011,10,Oct,2011-10-01,3228
Switzerland,2011,10,Oct,2011-10-01,7596
Taiwan,2011,10,Oct,2011-10-01,17775
Thailand,2011,10,Oct,2011-10-01,53133
Total International Visitor Arrivals By Place Of Residence,2011,10,Oct,2011-10-01,1085193
USA,2011,10,Oct,2011-10-01,36840
United Arab Emirates,2011,10,Oct,2011-10-01,3710
United Kingdom,2011,10,Oct,2011-10-01,36372
Vietnam,2011,10,Oct,2011-10-01,23285
West Asia,2011,10,Oct,2011-10-01,9542
Africa,2011,11,Nov,2011-11-01,5403
Americas,2011,11,Nov,2011-11-01,48158
Australia,2011,11,Nov,2011-11-01,70012
Bangladesh,2011,11,Nov,2011-11-01,7610
Belgium & Luxembourg,2011,11,Nov,2011-11-01,2181
Brunei Darussalam,2011,11,Nov,2011-11-01,5139
Canada,2011,11,Nov,2011-11-01,7843
China,2011,11,Nov,2011-11-01,100824
Denmark,2011,11,Nov,2011-11-01,2279
Egypt,2011,11,Nov,2011-11-01,279
Europe,2011,11,Nov,2011-11-01,130163
Finland,2011,11,Nov,2011-11-01,3092
France,2011,11,Nov,2011-11-01,11166
Germany,2011,11,Nov,2011-11-01,22487
Greater China,2011,11,Nov,2011-11-01,149816
Hong Kong SAR,2011,11,Nov,2011-11-01,31543
India,2011,11,Nov,2011-11-01,72387
Indonesia,2011,11,Nov,2011-11-01,188488
Iran,2011,11,Nov,2011-11-01,1827
Israel,2011,11,Nov,2011-11-01,1085
Italy,2011,11,Nov,2011-11-01,4718
Japan,2011,11,Nov,2011-11-01,61293
Kuwait,2011,11,Nov,2011-11-01,668
Malaysia,2011,11,Nov,2011-11-01,104972
Mauritius,2011,11,Nov,2011-11-01,1080
Myanmar,2011,11,Nov,2011-11-01,7096
Netherlands,2011,11,Nov,2011-11-01,6532
New Zealand,2011,11,Nov,2011-11-01,8888
North Asia,2011,11,Nov,2011-11-01,94486
Norway,2011,11,Nov,2011-11-01,3377
Oceania,2011,11,Nov,2011-11-01,80355
Other Markets In Africa,2011,11,Nov,2011-11-01,1944
Other Markets In Americas,2011,11,Nov,2011-11-01,3614
Other Markets In Europe,2011,11,Nov,2011-11-01,13138
Other Markets In Greater China,2011,11,Nov,2011-11-01,1584
Other Markets In North Asia,2011,11,Nov,2011-11-01,48
Other Markets In Oceania,2011,11,Nov,2011-11-01,1455
Other Markets In South Asia,2011,11,Nov,2011-11-01,1927
Other Markets In Southeast Asia,2011,11,Nov,2011-11-01,3725
Other Markets In West Asia,2011,11,Nov,2011-11-01,2139
Others,2011,11,Nov,2011-11-01,1
Pakistan,2011,11,Nov,2011-11-01,1486
Philippines,2011,11,Nov,2011-11-01,52726
Rep Of Ireland,2011,11,Nov,2011-11-01,1695
Russian Federation,2011,11,Nov,2011-11-01,5517
Saudi Arabia,2011,11,Nov,2011-11-01,1907
South Africa (Rep Of),2011,11,Nov,2011-11-01,2100
South Asia,2011,11,Nov,2011-11-01,89970
South Korea,2011,11,Nov,2011-11-01,33145
Southeast Asia,2011,11,Nov,2011-11-01,414851
Spain,2011,11,Nov,2011-11-01,3173
Sri Lanka,2011,11,Nov,2011-11-01,6560
Sweden,2011,11,Nov,2011-11-01,3947
Switzerland,2011,11,Nov,2011-11-01,7767
Taiwan,2011,11,Nov,2011-11-01,15865
Thailand,2011,11,Nov,2011-11-01,29299
Total International Visitor Arrivals By Place Of Residence,2011,11,Nov,2011-11-01,1027787
USA,2011,11,Nov,2011-11-01,36701
United Arab Emirates,2011,11,Nov,2011-11-01,6958
United Kingdom,2011,11,Nov,2011-11-01,39094
Vietnam,2011,11,Nov,2011-11-01,23406
West Asia,2011,11,Nov,2011-11-01,14584
Africa,2011,12,Dec,2011-12-01,9634
Americas,2011,12,Dec,2011-12-01,47529
Australia,2011,12,Dec,2011-12-01,84723
Bangladesh,2011,12,Dec,2011-12-01,8366
Belgium & Luxembourg,2011,12,Dec,2011-12-01,2025
Brunei Darussalam,2011,12,Dec,2011-12-01,10382
Canada,2011,12,Dec,2011-12-01,7610
China,2011,12,Dec,2011-12-01,113390
Denmark,2011,12,Dec,2011-12-01,2232
Egypt,2011,12,Dec,2011-12-01,253
Europe,2011,12,Dec,2011-12-01,128389
Finland,2011,12,Dec,2011-12-01,4319
France,2011,12,Dec,2011-12-01,12050
Germany,2011,12,Dec,2011-12-01,21448
Greater China,2011,12,Dec,2011-12-01,167257
Hong Kong SAR,2011,12,Dec,2011-12-01,36204
India,2011,12,Dec,2011-12-01,78434
Indonesia,2011,12,Dec,2011-12-01,284232
Iran,2011,12,Dec,2011-12-01,2029
Israel,2011,12,Dec,2011-12-01,778
Italy,2011,12,Dec,2011-12-01,4873
Japan,2011,12,Dec,2011-12-01,62585
Kuwait,2011,12,Dec,2011-12-01,495
Malaysia,2011,12,Dec,2011-12-01,130493
Mauritius,2011,12,Dec,2011-12-01,1837
Myanmar,2011,12,Dec,2011-12-01,8594
Netherlands,2011,12,Dec,2011-12-01,6168
New Zealand,2011,12,Dec,2011-12-01,10514
North Asia,2011,12,Dec,2011-12-01,92226
Norway,2011,12,Dec,2011-12-01,3097
Oceania,2011,12,Dec,2011-12-01,96626
Other Markets In Africa,2011,12,Dec,2011-12-01,2239
Other Markets In Americas,2011,12,Dec,2011-12-01,3501
Other Markets In Europe,2011,12,Dec,2011-12-01,12021
Other Markets In Greater China,2011,12,Dec,2011-12-01,2510
Other Markets In North Asia,2011,12,Dec,2011-12-01,36
Other Markets In Oceania,2011,12,Dec,2011-12-01,1389
Other Markets In South Asia,2011,12,Dec,2011-12-01,2189
Other Markets In Southeast Asia,2011,12,Dec,2011-12-01,3332
Other Markets In West Asia,2011,12,Dec,2011-12-01,1938
Others,2011,12,Dec,2011-12-01,6
Pakistan,2011,12,Dec,2011-12-01,1850
Philippines,2011,12,Dec,2011-12-01,57114
Rep Of Ireland,2011,12,Dec,2011-12-01,1526
Russian Federation,2011,12,Dec,2011-12-01,6881
Saudi Arabia,2011,12,Dec,2011-12-01,1167
South Africa (Rep Of),2011,12,Dec,2011-12-01,5305
South Asia,2011,12,Dec,2011-12-01,102226
South Korea,2011,12,Dec,2011-12-01,29605
Southeast Asia,2011,12,Dec,2011-12-01,560480
Spain,2011,12,Dec,2011-12-01,3060
Sri Lanka,2011,12,Dec,2011-12-01,11387
Sweden,2011,12,Dec,2011-12-01,4934
Switzerland,2011,12,Dec,2011-12-01,6687
Taiwan,2011,12,Dec,2011-12-01,15153
Thailand,2011,12,Dec,2011-12-01,39338
Total International Visitor Arrivals By Place Of Residence,2011,12,Dec,2011-12-01,1216637
USA,2011,12,Dec,2011-12-01,36418
United Arab Emirates,2011,12,Dec,2011-12-01,5857
United Kingdom,2011,12,Dec,2011-12-01,37068
Vietnam,2011,12,Dec,2011-12-01,26995
West Asia,2011,12,Dec,2011-12-01,12264
Africa,2012,1,Jan,2012-01-01,6107
Americas,2012,1,Jan,2012-01-01,51653
Australia,2012,1,Jan,2012-01-01,94946
Bangladesh,2012,1,Jan,2012-01-01,7250
Belgium & Luxembourg,2012,1,Jan,2012-01-01,2153
Brunei Darussalam,2012,1,Jan,2012-01-01,4862
Canada,2012,1,Jan,2012-01-01,8495
China,2012,1,Jan,2012-01-01,201742
Denmark,2012,1,Jan,2012-01-01,3250
Egypt,2012,1,Jan,2012-01-01,269
Europe,2012,1,Jan,2012-01-01,150022
Finland,2012,1,Jan,2012-01-01,4792
France,2012,1,Jan,2012-01-01,10939
Germany,2012,1,Jan,2012-01-01,26463
Greater China,2012,1,Jan,2012-01-01,270576
Hong Kong SAR,2012,1,Jan,2012-01-01,39000
India,2012,1,Jan,2012-01-01,57265
Indonesia,2012,1,Jan,2012-01-01,230500
Iran,2012,1,Jan,2012-01-01,1726
Israel,2012,1,Jan,2012-01-01,1138
Italy,2012,1,Jan,2012-01-01,5443
Japan,2012,1,Jan,2012-01-01,50672
Kuwait,2012,1,Jan,2012-01-01,483
Malaysia,2012,1,Jan,2012-01-01,88970
Mauritius,2012,1,Jan,2012-01-01,821
Myanmar,2012,1,Jan,2012-01-01,6710
Netherlands,2012,1,Jan,2012-01-01,7082
New Zealand,2012,1,Jan,2012-01-01,11207
North Asia,2012,1,Jan,2012-01-01,96683
Norway,2012,1,Jan,2012-01-01,3238
Oceania,2012,1,Jan,2012-01-01,107329
Other Markets In Africa,2012,1,Jan,2012-01-01,1832
Other Markets In Americas,2012,1,Jan,2012-01-01,4236
Other Markets In Europe,2012,1,Jan,2012-01-01,16790
Other Markets In Greater China,2012,1,Jan,2012-01-01,2377
Other Markets In North Asia,2012,1,Jan,2012-01-01,78
Other Markets In Oceania,2012,1,Jan,2012-01-01,1176
Other Markets In South Asia,2012,1,Jan,2012-01-01,1942
Other Markets In Southeast Asia,2012,1,Jan,2012-01-01,3332
Other Markets In West Asia,2012,1,Jan,2012-01-01,1229
Others,2012,1,Jan,2012-01-01,40
Pakistan,2012,1,Jan,2012-01-01,1496
Philippines,2012,1,Jan,2012-01-01,42248
Rep Of Ireland,2012,1,Jan,2012-01-01,1566
Russian Federation,2012,1,Jan,2012-01-01,12759
Saudi Arabia,2012,1,Jan,2012-01-01,1664
South Africa (Rep Of),2012,1,Jan,2012-01-01,3185
South Asia,2012,1,Jan,2012-01-01,73360
South Korea,2012,1,Jan,2012-01-01,45933
Southeast Asia,2012,1,Jan,2012-01-01,432507
Spain,2012,1,Jan,2012-01-01,2473
Sri Lanka,2012,1,Jan,2012-01-01,5407
Sweden,2012,1,Jan,2012-01-01,5682
Switzerland,2012,1,Jan,2012-01-01,7253
Taiwan,2012,1,Jan,2012-01-01,27457
Thailand,2012,1,Jan,2012-01-01,28725
Total International Visitor Arrivals By Place Of Residence,2012,1,Jan,2012-01-01,1198507
USA,2012,1,Jan,2012-01-01,38922
United Arab Emirates,2012,1,Jan,2012-01-01,3990
United Kingdom,2012,1,Jan,2012-01-01,40139
Vietnam,2012,1,Jan,2012-01-01,27160
West Asia,2012,1,Jan,2012-01-01,10230
Africa,2012,2,Feb,2012-02-01,4508
Americas,2012,2,Feb,2012-02-01,54048
Australia,2012,2,Feb,2012-02-01,63878
Bangladesh,2012,2,Feb,2012-02-01,7639
Belgium & Luxembourg,2012,2,Feb,2012-02-01,2392
Brunei Darussalam,2012,2,Feb,2012-02-01,4782
Canada,2012,2,Feb,2012-02-01,8303
China,2012,2,Feb,2012-02-01,158002
Denmark,2012,2,Feb,2012-02-01,4261
Egypt,2012,2,Feb,2012-02-01,319
Europe,2012,2,Feb,2012-02-01,159924
Finland,2012,2,Feb,2012-02-01,5586
France,2012,2,Feb,2012-02-01,14493
Germany,2012,2,Feb,2012-02-01,27868
Greater China,2012,2,Feb,2012-02-01,217565
Hong Kong SAR,2012,2,Feb,2012-02-01,30416
India,2012,2,Feb,2012-02-01,61815
Indonesia,2012,2,Feb,2012-02-01,211738
Iran,2012,2,Feb,2012-02-01,1483
Israel,2012,2,Feb,2012-02-01,1336
Italy,2012,2,Feb,2012-02-01,5314
Japan,2012,2,Feb,2012-02-01,67306
Kuwait,2012,2,Feb,2012-02-01,655
Malaysia,2012,2,Feb,2012-02-01,88451
Mauritius,2012,2,Feb,2012-02-01,729
Myanmar,2012,2,Feb,2012-02-01,7038
Netherlands,2012,2,Feb,2012-02-01,7351
New Zealand,2012,2,Feb,2012-02-01,6613
North Asia,2012,2,Feb,2012-02-01,112776
Norway,2012,2,Feb,2012-02-01,4038
Oceania,2012,2,Feb,2012-02-01,71466
Other Markets In Africa,2012,2,Feb,2012-02-01,1288
Other Markets In Americas,2012,2,Feb,2012-02-01,3775
Other Markets In Europe,2012,2,Feb,2012-02-01,17307
Other Markets In Greater China,2012,2,Feb,2012-02-01,1887
Other Markets In North Asia,2012,2,Feb,2012-02-01,73
Other Markets In Oceania,2012,2,Feb,2012-02-01,975
Other Markets In South Asia,2012,2,Feb,2012-02-01,1589
Other Markets In Southeast Asia,2012,2,Feb,2012-02-01,2818
Other Markets In West Asia,2012,2,Feb,2012-02-01,1818
Others,2012,2,Feb,2012-02-01,97
Pakistan,2012,2,Feb,2012-02-01,1405
Philippines,2012,2,Feb,2012-02-01,50931
Rep Of Ireland,2012,2,Feb,2012-02-01,1557
Russian Federation,2012,2,Feb,2012-02-01,6533
Saudi Arabia,2012,2,Feb,2012-02-01,975
South Africa (Rep Of),2012,2,Feb,2012-02-01,2172
South Asia,2012,2,Feb,2012-02-01,78699
South Korea,2012,2,Feb,2012-02-01,45397
Southeast Asia,2012,2,Feb,2012-02-01,424993
Spain,2012,2,Feb,2012-02-01,2398
Sri Lanka,2012,2,Feb,2012-02-01,6251
Sweden,2012,2,Feb,2012-02-01,5967
Switzerland,2012,2,Feb,2012-02-01,7709
Taiwan,2012,2,Feb,2012-02-01,27260
Thailand,2012,2,Feb,2012-02-01,33176
Total International Visitor Arrivals By Place Of Residence,2012,2,Feb,2012-02-01,1134554
USA,2012,2,Feb,2012-02-01,41970
United Arab Emirates,2012,2,Feb,2012-02-01,4211
United Kingdom,2012,2,Feb,2012-02-01,47150
Vietnam,2012,2,Feb,2012-02-01,26059
West Asia,2012,2,Feb,2012-02-01,10478
Africa,2012,3,Mar,2012-03-01,5855
Americas,2012,3,Mar,2012-03-01,60074
Australia,2012,3,Mar,2012-03-01,70960
Bangladesh,2012,3,Mar,2012-03-01,8951
Belgium & Luxembourg,2012,3,Mar,2012-03-01,2610
Brunei Darussalam,2012,3,Mar,2012-03-01,6942
Canada,2012,3,Mar,2012-03-01,9930
China,2012,3,Mar,2012-03-01,182348
Denmark,2012,3,Mar,2012-03-01,3557
Egypt,2012,3,Mar,2012-03-01,271
Europe,2012,3,Mar,2012-03-01,165101
Finland,2012,3,Mar,2012-03-01,4144
France,2012,3,Mar,2012-03-01,14253
Germany,2012,3,Mar,2012-03-01,30111
Greater China,2012,3,Mar,2012-03-01,240492
Hong Kong SAR,2012,3,Mar,2012-03-01,35154
India,2012,3,Mar,2012-03-01,65547
Indonesia,2012,3,Mar,2012-03-01,227695
Iran,2012,3,Mar,2012-03-01,5048
Israel,2012,3,Mar,2012-03-01,1216
Italy,2012,3,Mar,2012-03-01,6122
Japan,2012,3,Mar,2012-03-01,74995
Kuwait,2012,3,Mar,2012-03-01,340
