Model,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2,Test_MAPE
Random Forest,4411530867.881773,35135.283054728134,0.9784831669418043,19596056776.108734,81336.43774412204,0.9336216704209296,14.888701330485516
Gradient Boosting,4303163.780386039,1581.5831043359417,0.9999790117173704,25913681035.727097,80526.63495035213,0.912221786247653,17.037096155650577
Decision Tree,6751690176.602734,56202.33313278675,0.9670692567407159,28291691836.53088,98547.52623534382,0.9041666766670976,15.702226672431346
Ridge Regression,7331209402.378545,63253.800180097285,0.9642427054122832,29230755134.60675,92434.8225404508,0.9009857584952701,37.4129368270952
Lasso Regression,7286071574.171451,62928.400804217184,0.9644628609871229,29940073075.28443,93821.07715052417,0.8985830638827471,38.365067145204286
Linear Regression,7286071402.00168,62929.38430924241,0.964462861826865,29942271118.64154,93825.32262216476,0.8985756183824581,38.36702525235
K-Nearest Neighbors,22095525448.607296,79912.26035381554,0.8922311218828491,42355175281.76842,116347.20581089846,0.8565290039544985,37.273510455233186
Support Vector Regression,218788774569.4536,330619.66858367727,-0.0671219761131514,308183864151.46674,426096.7549874246,-0.043920740755257315,192.1858056639906
